Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
C Spire Business,,,,5740 Getwell Rd.,,MS,38672,,(662) 816-8161,,,http://cspire.com/business,,Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/c-spire-business-3485,,,,6 - Economic Investor - Strategic Partners,,bartlettchamber,,,,,,,,,2022-12-01 16:07:52,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
"Harris, Shelton, Hanover, Walsh","Edward J. McKenney, Jr.",Edward,Jr.,6060 Primacy Pkwy.,,TN,38119,,(901) 525-1455,,,http://www.harrisshelton.com,,Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/harris-shelton-hanover-walsh-652,,,,Attorney,,bartlettchamber,,,,,,,,,2022-12-01 16:07:52,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
"First Horizon Advisors, Inc.",,,,165 Madison Ave,,TN,38103,,(901) 818-6000,,,https://www.firsthorizon.com/First-Horizon-Advisors/,,Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/first-horizon-advisors-inc-2212,,,,Financial Advisor,,bartlettchamber,,,,,,,,,2022-12-01 16:07:53,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
CarMax,,,,7771 Highway 64,,Tennessee,38133,,(901) 382-1315,,,http://www.carmax.com,,Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/carmax-3654,,,,Auto Dealership,,bartlettchamber,,,,,,,,,2022-12-01 16:07:53,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
Crye-Leike Realtors - Rita Hallum,Rita Hallum,Rita,Hallum,2868 Summer Oaks Dr.,,TN,38134,,(901) 277-6356,,,http://www.ritahallum.com,"http://facebook.com/ritahallumrealtor, http://twitter.com/ritahallum",Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/crye-leike-realtors-rita-hallum-612,,,,Realtor,,bartlettchamber,,,,,,,,,2022-12-01 16:07:54,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
Holiday Inn & Suites Memphis - Wolfchase Galleria,"Edward J. McKenney, Jr.",Edward,Jr.,2751 New Brunswick Rd.,,TN,38133-2146,,(901) 266-1952,,,http://www.holidayinn.com/wolfchasetn,http://www.youtube.com/watch?v=XOsNMcl3eqk,Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/holiday-inn-suites-memphis-wolfchase-galleria-1028,,,,Hotel / Motel,,bartlettchamber,,,,,,,,,2022-12-01 16:07:54,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
Fetch! Pet Care of East Memphis,,,,5787 Lillian Bend Dr,,TN,38002,,(901) 520-6494,,,https://www.fetchpetcare.com/eastmemphis,"https://www.facebook.com/fetchpetcareeastmemphis, http://instagram.com/fpceastmemphis",Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/fetch-pet-care-of-east-memphis-3789,,,,Pet Care,,bartlettchamber,,,,,,,,,2022-12-01 16:07:54,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
"Family Medicine Group, PLLC",Terri Hyatt,Terri,Hyatt,2996 Kate Bond Rd.,,TN,38133,,(901) 386-4423,,,,,Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/family-medicine-group-pllc-204,,,,Physician,,bartlettchamber,,,,,,,,,2022-12-01 16:07:54,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
F45 Training Wolfchase,Terri Hyatt,Terri,Hyatt,2850 Wolfcreek Parkway,,TN,38133,,(901) 410-2156,,,https://f45training.com/wolfchase/home,,Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/f45-training-wolfchase-3471,,,,Fitness Center,,bartlettchamber,,,,,,,,,2022-12-01 16:07:54,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
A2H - Engineers - Architects - Planners,,,,3009 Davies Plantation Rd.,,TN,38002,,(901) 372-0404,,,http://www.a2h.com,"https://www.linkedin.com/company/a2h-design, https://www.facebook.com/A2Hdesign/, http://twitter.com/A2H_design",Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/a2h-engineers-architects-planners-932,,,,Architectural Firm,,bartlettchamber,,,,,,,,,2022-12-01 16:07:54,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
Regions Bank,,,,7790 US Highway 64,,TN,38133,,(901) 385-4025,,,http://www.regions.com,,Business,,,,https://business.bartlettchamber.org/list,https://business.bartlettchamber.org/list/member/regions-bank-552,,,,Bank,,bartlettchamber,,,,,,,,,2022-12-01 16:07:54,The easy way to find businesses and members in the Bartlett Area Chamber of Commerce
