Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
A Mobile Storage Co.,Don Goodson,Don,Goodson,Post Office Box 1368,,SC,29151,,803-773-5439,,,http://www.amobilestorage.com,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/a-mobile-storage-co-sumter-3,,,,Business Service,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Intriguing Escapes with Ked and Moe,,,,19 West Boyce Street,,SC,29102,,(415) 480-9814,,,http://www.IntriguingEscapeswithKedandMoe.com,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/intriguing-escapes-with-ked-and-moe-330,,,,Travel Agencies,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Awaken Your Roar Transformational Coaching,,,,1758 Kenwood Road,,SC,29102,,(803) 460-7429,,,http://awakenourroar.us,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/awaken-your-roar-transformational-coaching-335,,,,Consultants,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Aflac-Stephanie Timmons,,,,10 S. Brooks Street,,SC,29102,,(803) 460-5595,,,http://www.aflac.com,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/aflac-stephanie-timmons-153,,,,Insurance,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
American Red Cross,,,,2424-A City Hall Lane,,SC,29102,,(843) 670-4633,,,http://www.redcross.org,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/american-red-cross-328,,,,Business Service,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Anderson Pharmacy,,,,PO Drawer 518,,SC,29102,,(803) 433-2212,,,,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/anderson-pharmacy-8,,,,Pharmacy,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Adams Outdoor Advertising,Mona Carter,Mona,Carter,692 Bultman Drive,,SC,29150,,(803) 847-5205,,,http://www.adamsoutdoor.com,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/adams-outdoor-advertising-269,,,,Advertising/Promotions,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Armslink Realty,,,,2104 Cypress Pointe,,SC,29102,,(803) 469-8808,,,,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/armslink-realty-342,,,,Real Estate Services,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Animal Shelter of Clarendon County,,,,PO Box 607,,SC,29102,,803-473-7075,,,http://www.asecondchanceanimalshelter.com,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/animal-shelter-of-clarendon-county-9,,,,Pets,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
"Alcolu Peanut, LLC",Pam Brunson,Pam,Brunson,PO Box 285,,SC,29001,,803-473-3706,,,,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/alcolu-peanut-llc-alcolu-6,,,,Agriculture,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Belladonna Boutique,,,,9 W Boyce Street,,SC,29102,,(803) 696-4109,,,,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/belladonna-boutique-283,,,,Clothing/Shoes,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
"Black River Electric Coop., Inc.",,,,PO Box 130,,SC,29151,,803-905-3330,,,,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/black-river-electric-coop-inc-sumter-27,,,,Utilities,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Big T Jewelers,,,,520 West Boyce Street,,SC,29102,,803-435-8094,,,https://www.facebook.com/bigtjewelers/,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/big-t-jewelers-26,,,,Jewelry,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Black River Land & Home - Black River Properties,,,,120 N. Brooks Street,,SC,29102,,(803) 460-4373,,,,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/black-river-land-home-black-river-properties-285,,,,Real Estate Services,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Brunson's Pharmacy,,,,12 North Brooks Street,,SC,29102,,803-435-2511,,,https://brunsonsrx.com/,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/brunson-s-pharmacy-29,,,,Drug Stores,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Burger Chick,,,,2178 Sumter Hwy,,SC,29102,,(803) 435-4482,,,,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/burger-chick-291,,,,Restaurants & Specialty Dining,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Wyboo Golf Club,,,,2565 Players Course Drive,,SC,29102,,803-478-7899,,,http://www.wyboogolfclub.com,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/wyboo-golf-club-170,,,,Country Clubs,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Wal-Mart,,,,2010 Paxville Hwy.,,SC,29102,,(803) 435-4323,,,http://www.walmart.com,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/wal-mart-234,,,,Shopping Centers,,clarendoncounty,,,,,,,,,2022-12-20 11:03:11,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
Simpson Hardware Company,,,,110 North Brooks Street,,SC,29102,,803-435-2651,,,https://www.simpsonhardwareinc.com/,,Business,,,,https://chamber.clarendoncounty.com/list,https://chamber.clarendoncounty.com/list/member/simpson-hardware-company-148,,,,Hardware,,clarendoncounty,,,,,,,,,2022-12-20 11:03:12,The easy way to find businesses and members in the Clarendon County Chamber of Commerce - SC
