Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Alabama &#8211; Department of Labor &#8211; State Employment Service,,,,649 Monroe Street Room 2813,,AL,36131,,334-590-2782,,Kevin.Kidd@alcc.alabama.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,32.378141,-86.300588,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:17,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Georgia &#8211; Department of Labor,,,,"148 Andrew Young International Blvd., NE, Suite 560",,GA,30303,,404-232-3543,,wayne.mack@gdol.ga.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,33.759985,-84.382755,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:17,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Florida &#8211; Department of Economic Opportunity,,,,107 East Madison Street,,FL,32399,,850-921-3466,,eduardo.torres@deo.myflorida.com,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,30.436223,-84.281089,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:17,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Alaska &#8211; Department of Labor &#038; Workforce Development,,,,PO BOX 115509,,AK,99811-5509,,907-465-5952,,teressa.parker@alaska.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,58.301705,-134.420077,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:17,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Arkansas &#8211; Department of Workforce Services,,,,"2200 Ft. Root Drive Bldg. 89, RM 106",,AR,72214,,501-320-5629,,michael.tippin@arkansas.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,34.773372,-92.289421,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:17,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Arizona &#8211; Department of Economic Security,,,,"1789 W Jefferson St, Mail Drop 5111",,AZ,85007,,833-762-8196,,dersfederalbonding@azdes.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,33.452368,-112.083637,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:17,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
California &#8211; Employment Development Department,,,,722 Capitol Mall MIC-50,,CA,95814,,916-908-9471,,WSBBonding@edd.ca.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,38.577145,-121.497131,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Nevada &#8211; Department of Employment &#8211; Rehabilitation and Training (DETR),,,,500 East Third St.,,NV,89713,,702-486-6635,,cemcbirney@detr.nv.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.162958,-119.763131,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Florida &#8211; Department of Economic Opportunity,,,,107 East Madison Street,,FL,32399,,850-921-3466,,eduardo.torres@deo.myflorida.com,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,30.436223,-84.281089,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Alabama &#8211; Department of Labor &#8211; State Employment Service,,,,649 Monroe Street Room 2813,,AL,36131,,334-590-2782,,Kevin.Kidd@alcc.alabama.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,32.378141,-86.300588,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Delaware &#8211; Department of Labor &#8211; Division of Employment Services,,,,"4425 North Market Street, 3rd Floor",,DE,19802,,302-761-8039,,sherese.brewington-c@state.de.us,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.762398,-75.519459,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Maryland &#8211; Department of Labor &#8211; Licensing and Regulation (DLLR),,,,613 Global Way,,MD,21090,,410-424-3241,,andre.james@maryland.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.302297,-76.624894,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Washington D.C. &#8211; Department of Employment Services,,,,"4058 Minnesota Ave. NE, 2nd Floor",,DC,20002,,202-698-3753,,ed.moody@dc.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,38.897024,-76.94774,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
New Jersey &#8211; Department of Labor &#038; Workforce Development,,,,1 John Fitch Plaza,,NJ,08625-0110,,609-292-5763,,Federalbonding@dol.nj.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,40.220682,-74.760732,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Pennsylvania &#8211; Department of Labor &#038; Industry,,,,651 Boas Street,,PA,17121,,800-345-2555,,gshirk@pa.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,40.268727,-76.88267,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Virginia &#8211; Department of Corrections,,,,6900 Atmore Drive,,VA,23225,,804-887-8262,,virginia.bondingprogram@vadoc.virginia.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,37.504465,-77.525131,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Colorado &#8211; Department of Labor &#038; Employment,,,,"633 17th Street, Suite 700",,CO,80202-2117,,303-318-8961,,kerri.owen@state.co.us,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.746576,-104.990082,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Georgia &#8211; Department of Labor,,,,"148 Andrew Young International Blvd., NE, Suite 560",,GA,30303,,404-232-3543,,wayne.mack@gdol.ga.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,33.759985,-84.382755,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Alabama &#8211; Department of Labor &#8211; State Employment Service,,,,649 Monroe Street Room 2813,,AL,36131,,334-590-2782,,Kevin.Kidd@alcc.alabama.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,32.378141,-86.300588,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
South Carolina &#8211; Department of Employment &#038; Workforce,,,,"1550 Gadsen Street, P.O. Box 995",,SC,29202,,803-737-3228,,ahill@dew.sc.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,34.004147,-81.041797,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Hawaii &#8211; Workforce Development Division,,,,"830 Punchbowl Street, Room 329",,HI,96813,,808-586-8825,,dlir.workforce.development@hawaii.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,21.304025,-157.861194,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:18,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Idaho &#8211; Department of Labor,,,,317 West Main Street,,ID,83735,,208-332-3570,,Dave.Hanchett@labor.idaho.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,43.612714,-116.198365,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Missouri &#8211; Department of Higher Education and Workforce Development,,,,P.O. Box 1087,,MO,65102,,573-751-8242,,Mark.S.Embry@dhewd.mo.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,38.569943,-92.172125,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Illinois &#8211; Department of Employment Security,,,,33 S State Street,,IL,60603,,312-793-9601,,Patrick.Durkin@illinois.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,41.881184,-87.62749,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Indiana &#8211; Department of Workforce Development,,,,"10 North Senate Ave., Room SE 306",,IN,46204-6081,,812-881-1853,,mfinch-anderson@dwd.in.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.767623,-86.164142,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Indiana &#8211; Department of Workforce Development,,,,"10 North Senate Ave., Room SE 306",,IN,46204-6081,,812-881-1853,,mfinch-anderson@dwd.in.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.767623,-86.164142,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Kentucky &#8211; Career Center Office of Employment &#038; Training,,,,"275 East Main Street, 2-WA",,KY,40621,,502-564-7456,,michelle.dejohn@ky.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,38.195992,-84.862252,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Illinois &#8211; Department of Employment Security,,,,33 S State Street,,IL,60603,,312-793-9601,,Patrick.Durkin@illinois.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,41.881184,-87.62749,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Iowa &#8211; Workforce Development,,,,1000 East Grand Avenue,,IA,50319,,515-725-3891,,richelle.seitz@iwd.iowa.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,41.591212,-93.615889,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Nebraska &#8211; Department of Labor,,,,550 S. 16th Street,,NE,68509,,402-314-2210,,NDOL.RSFidelityBonds@Nebraska.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,40.808419,-96.697805,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Kansas &#8211; Department of Commerce,,,,"1000 SW Jackson Street, Suite 100",,KS,66612-1354,,785-296-7435,,Ashla.Stowe@ks.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.045526,-95.676678,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Nebraska &#8211; Department of Labor,,,,550 S. 16th Street,,NE,68509,,402-314-2210,,NDOL.RSFidelityBonds@Nebraska.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,40.808419,-96.697805,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Missouri &#8211; Department of Higher Education and Workforce Development,,,,P.O. Box 1087,,MO,65102,,573-751-8242,,Mark.S.Embry@dhewd.mo.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,38.569943,-92.172125,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Kentucky &#8211; Career Center Office of Employment &#038; Training,,,,"275 East Main Street, 2-WA",,KY,40621,,502-564-7456,,michelle.dejohn@ky.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,38.195992,-84.862252,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Indiana &#8211; Department of Workforce Development,,,,"10 North Senate Ave., Room SE 306",,IN,46204-6081,,812-881-1853,,mfinch-anderson@dwd.in.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.767623,-86.164142,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Tennessee &#8211; Department of Labor &#038; Workforce Development,,,,220 French Landing Drive,,TN,37243,,615-253-6576,,Melanie.tawater@tn.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,36.192574,-86.797478,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
West Virginia &#8211; Department of Commerce &#8211; Workforce West Virginia,,,,1900 Kanawha Blvd. East,,WV,25305,,304-558-2631,,John.W.Estep@wv.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,38.336874,-81.609859,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:19,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Louisiana &#8211; Department of Labor &#8211; Workforce Commission,,,,1001 N. 23rd St.,,LA,70804-9094,,225-342-2939,,nlearson@lwc.la.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,30.457948,-91.165736,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Mississippi &#8211; Department of Employment Security,,,,1235 Echelon Parkway,,MS,39213,,601-321-6013,,hstagg@mdes.ms.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,32.396657,-90.18446,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Michigan &#8211; Department of Labor and Economic Opportunity &#8211; Workforce Development,,,,P.O. Box 30805,,MI,48909,,313-410-9498,,PrusM@Michigan.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,42.734868,-84.552716,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Ohio &#8211; Department of Rehabilitation &#038; Correction &#8211; Central School System,,,,4545 Fisher Rd Suite D,,OH,43228,,614-728-1923,,Jeanette.Woodruff@odrc.state.oh.us,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,40.908502,-82.676543,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Illinois &#8211; Department of Employment Security,,,,33 S State Street,,IL,60603,,312-793-9601,,Patrick.Durkin@illinois.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,41.881184,-87.62749,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Maryland &#8211; Department of Labor &#8211; Licensing and Regulation (DLLR),,,,613 Global Way,,MD,21090,,410-424-3241,,andre.james@maryland.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.302297,-76.624894,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Washington D.C. &#8211; Department of Employment Services,,,,"4058 Minnesota Ave. NE, 2nd Floor",,DC,20002,,202-698-3753,,ed.moody@dc.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,38.897024,-76.94774,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Delaware &#8211; Department of Labor &#8211; Division of Employment Services,,,,"4425 North Market Street, 3rd Floor",,DE,19802,,302-761-8039,,sherese.brewington-c@state.de.us,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,39.762398,-75.519459,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Pennsylvania &#8211; Department of Labor &#038; Industry,,,,651 Boas Street,,PA,17121,,800-345-2555,,gshirk@pa.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,40.268727,-76.88267,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Virginia &#8211; Department of Corrections,,,,6900 Atmore Drive,,VA,23225,,804-887-8262,,virginia.bondingprogram@vadoc.virginia.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,37.504465,-77.525131,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
New Jersey &#8211; Department of Labor &#038; Workforce Development,,,,1 John Fitch Plaza,,NJ,08625-0110,,609-292-5763,,Federalbonding@dol.nj.gov,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,40.220682,-74.760732,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
Minnesota &#8211; Department of Employment and Economic Development,,,,"540 Fairview Avenue N., Suite 100",,MN,55104,,651-539-4121,,jeremiah.carter@state.mn.us,,,Business,,,,https://bonds4jobs.com/our-services/directory,,,44.956831,-93.176344,Bonding Coordinator,,bonds4jobs,,,,,,,,,2022-11-23 14:54:20,"In order to obtain a bond, you can contact a State Bonding Coordinator. Use our interactive map to find the coordinator closest to where you live and work."
