Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Ad Wear,Scott Leoncini,Scott,Leoncini,3676 W California Ave,,UT,84104,,(801) 973-4445,,,http://www.adwearinc.com,,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/ad-wear-5355,,,,Promotional Advertising,,chamberwest,,,,,,,,,2022-12-13 11:07:40,The easy way to find businesses and members in the ChamberWest
Waterpocket Distillery,Alan Scott,Alan,Scott,2084 West 2200 South,,UT,84119,,(385) 202-5725,,,http://www.waterpocket.co,"https://www.facebook.com/waterpocketdistillery/, http://www.instagram.com/waterpocketdistillery/",Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/waterpocket-distillery-3214,,,,Distilleries,,chamberwest,,,,,,,,,2022-12-13 11:07:40,The easy way to find businesses and members in the ChamberWest
Valley View Memorial Park & Funeral Home,Mr. Greg Ballard,Greg,Ballard,4335 West 4100 South,,UT,84120,,(801) 969-1081,,,https://www.dignitymemorial.com/funeral-homes/west-valley-city-ut/valley-view-memorial-park-funeral-home/2257?utm_source=google_my_business&utm_medium=organic,https://www.facebook.com/valleylawutah/,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/valley-view-memorial-park-funeral-home-1704,,,,Funeral Homes & Cemeteries,,chamberwest,,,,,,,,,2022-12-13 11:07:40,The easy way to find businesses and members in the ChamberWest
Visionworks,Carol  Anthian,Carol,Anthian,2731 South 5600 West,,UT,84120,,(385) 324-5641,,,http://www.Visionworks.com,,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/visionworks-west-valley-city-11094,,,,Health Care Facility,,chamberwest,,,,,,,,,2022-12-13 11:07:40,The easy way to find businesses and members in the ChamberWest
Visit Salt Lake,,,,90 South West Temple,,UT,84101,,(801) 534-4900,,,http://www.visitsaltlake.com/,https://www.facebook.com/VisitSaltLake/,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/visit-salt-lake-1558,,,,Visitors Center and Welcoming Services,,chamberwest,,,,,,,,,2022-12-13 11:07:40,The easy way to find businesses and members in the ChamberWest
Benchmark Bookkeeping & Consulting,Ms. Susan Price,Susan,Price,726 Eagle Way,,UT,84037,,(801) 916-2670,,,http://www.,,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/benchmark-bookkeeping-consulting-3170,,,,Accounting & Tax Preparation,,chamberwest,,,,,,,,,2022-12-13 11:07:40,The easy way to find businesses and members in the ChamberWest
Walker Edison,,,,1553 West 9000 South,,UT,84088,,(801) 433-3008,,,https://www.walkeredison.com/,,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/walker-edison-10751,,,,Furniture Dealers,,chamberwest,,,,,,,,,2022-12-13 11:07:40,The easy way to find businesses and members in the ChamberWest
Varex Imaging,Jordan Larson,Jordan,Larson,1678 South Pioneer Road,,UT,84104,,(801) 973-5024,,,http://www.vareximaging.com,https://www.facebook.com/vareximaging/,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/varex-imaging-3165,,,,"Medical Research, Equipment & Labs",,chamberwest,,,,,,,,,2022-12-13 11:07:40,The easy way to find businesses and members in the ChamberWest
Utah Warriors Rugby,Rosanne Simpson,Rosanne,Simpson,14787 Academy Pkwy,,UT,84065,,(801) 477-7652,,,https://www.warriorsrugby.com/,"https://www.linkedin.com/company/utahwarriorsrugby, https://www.facebook.com/utahwarriorsrugby/, https://www.instagram.com/utahwarriorsrugby/",Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/utah-warriors-rugby-10917,,,,Sports & Recreation,,chamberwest,,,,,,,,,2022-12-13 11:07:41,The easy way to find businesses and members in the ChamberWest
EyeCare4Kids,Joseph Carbone,Joseph,Carbone,6911 S. State Street,,UT,84047,,(801) 285-5443,,,http://www.eyecare4kids.org,"https://www.facebook.com/eyecare4kids, http://www.instagram.com/eyecare_4kids/",Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/eyecare4kids-10876,,,,Health & Wellness,,chamberwest,,,,,,,,,2022-12-13 11:07:41,The easy way to find businesses and members in the ChamberWest
St. Mark's Taylorsville Emergency Center,Rachel Morrison,Rachel,Morrison,2675 W. Taylorsville Blvd.,,UT,84129,,(801) 982-0050,,,https://stmarkshospital.com/service/taylorsville-emergency-center,,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/st-mark-s-taylorsville-emergency-center-5476,,,,Hospitals & Medical,,chamberwest,,,,,,,,,2022-12-13 11:07:41,The easy way to find businesses and members in the ChamberWest
South Pacific Island Art,Iuni Tuaimeiuta,Iuni,Tuaimeiuta,5612 S. Redwood Rd.,,UT,84123,,(407) 770-8272,,,https://myspia.com/,,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/south-pacific-island-art-taylorsville-10982,,,,Retail,,chamberwest,,,,,,,,,2022-12-13 11:07:41,The easy way to find businesses and members in the ChamberWest
Esperanza Elementary,Eulogio Alejandre,Eulogio,Alejandre,4956 West 3500 South,,UT,84120,,(801) 305-1450,,,http://www.esperanzaelementary.org,https://www.facebook.com/esperanzaelementary/,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/esperanza-elementary-2656,,,,"Schools, Colleges & Education",,chamberwest,,,,,,,,,2022-12-13 11:07:41,The easy way to find businesses and members in the ChamberWest
Superior Translation,Maria Green,Maria,Green,7707 Battlefield Cove,,UT,84084,,(801) 859-2783,,,http://superiortranslation.us,,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/superior-translation-11007,,,,Translation Services,,chamberwest,,,,,,,,,2022-12-13 11:07:41,The easy way to find businesses and members in the ChamberWest
Spherion,Makaila Kelso,Makaila,Kelso,5677 Redwood Road,,UT,84123,,(801) 261-8880,,,http://spherion.com/taylorsville,"http://linkedin.com/company/spherionofutah, https://www.facebook.com/SpherionTaylorsvilleUtah/",Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/spherion-5364,,,,"Employment Services, Staffing, Benefits",,chamberwest,,,,,,,,,2022-12-13 11:07:41,The easy way to find businesses and members in the ChamberWest
Staybridge Suites and Event and Conference Facility,,,,3038 South Decker Lake Drive,,UT,84119,,(801) 746-8400,,,http://www.staybridgesuites.com/westsaltlake,https://www.facebook.com/staybridgesuitesslcwvc/,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/staybridge-suites-and-event-and-conference-facility-2194,,,,Hotels/Motels,,chamberwest,,,,,,,,,2022-12-13 11:07:42,The easy way to find businesses and members in the ChamberWest
SpringHill Suites West Valley,Bridget Trevino,Bridget,Trevino,3662 South 2400 West,,UT,84119,,(801) 456-0133,,,https://www.marriott.com/hotels/travel/slcsv-springhill-suites-salt-lake-city-west-valley/,,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/springhill-suites-west-valley-10929,,,,Hospitality & Tourism,,chamberwest,,,,,,,,,2022-12-13 11:07:42,The easy way to find businesses and members in the ChamberWest
Salt Lake County,,,,"2001 S. State Street, #N2100",,UT,84190,,(385) 468-4866,,,http://www.slco.org/,,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/salt-lake-county-1567,,,,Government,,chamberwest,,,,,,,,,2022-12-13 11:07:42,The easy way to find businesses and members in the ChamberWest
Stonebridge Golf Club,Mr. Paul Phillips,Paul,Phillips,4415 Links Drive,,UT,84120,,(801) 957-9000,,,http://www.golfstonebridgeutah.com/,https://www.facebook.com/Stonebridgegolf/,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/stonebridge-golf-club-1610,,,,Sports & Recreation,,chamberwest,,,,,,,,,2022-12-13 11:07:42,The easy way to find businesses and members in the ChamberWest
Valley Fair Mall,Casey Bulkley,Casey,Bulkley,3601 South 2700 West,,UT,84119,,(801) 969-6211,,,http://www.shopvalleyfairmall.com/,https://www.facebook.com/shopvalleyfair/,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/valley-fair-mall-1703,,,,Shopping Centers,,chamberwest,,,,,,,,,2022-12-13 11:07:42,The easy way to find businesses and members in the ChamberWest
Home2 Suites by Hilton,,,,4028 Parkway Blvd.,,UT,84120,,(801) 679-8222,,,http://www.saltlakecitywestvalleycity.home2suites.com,https://www.facebook.com/Home2SuitesWestValleyUT/,Business,,,,https://business.chamberwest.com/list,https://business.chamberwest.com/list/member/home2-suites-by-hilton-2411,,,,Hotels/Motels,,chamberwest,,,,,,,,,2022-12-13 11:07:42,The easy way to find businesses and members in the ChamberWest
