Business Name,Full Name,First Name,Last Name,Street Address,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Phone_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation
31 Realty,Gail Curtis,Gail,Curtis,"2268 S M-76, Suite #4",,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI,,,,,,,
All Star Real Estate,Mike Samborn,Mike,Samborn,105 N Henry Street,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
Arenac Realty Co.,Dennis Stanley,Dennis,Stanley,314 E Huron Rd,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
Assist 2 Sell All 4 You,John Slupka,John,Slupka,873 Shady Lane,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI,,,,,,,
"Ayre Rhinehart Bay
REALTORS",James Diedrich,James,Diedrich,200 Third Street,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
Benjamin Realty,Mark Benjamin,Mark,Benjamin,PO Box 428,,,,989.685.2414,,,www.benjaminre.com,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,,,,,,,,
Berkshire Hathaway,Matthew Hechlik,Matthew,Hechlik,919 Saginaw Street,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
Best Choice Realty,Michael Fournier,Michael,Fournier,1106 Bay Drive,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
"C.A. Hanes Realty, Inc.",Gene Goodman,Gene,Goodman,Main Office,,,,,,,www.CAHanes.com,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
,,,,Hale Office,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
,,,,West Branch Office,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
"Carole Wilson Real
Estate",Carole Wilson,Carole,Wilson,3221 N M-65,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI,,,,,,,
Century 21 Tawas Realty,Deborah Richardson,Deborah,Richardson,201 E Bay,,,,800.362.4261,,,www.C21TawasRealty.com,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,,,,,,,,
"Dream Quest
Homes",Matthew Burt,Matthew,Burt,579 Preserve Drive,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
EXP Realty,Cheryl Yost,Cheryl,Yost,"101 Big Beaver, Ste 1400",,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI,,,,,,,
Great North Real Estate,Steve Shaw,Steve,Shaw,3113 US-23 S,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,,,,,,,,
Hallmark Real Estate Inc.,Alana Walczak,Alana,Walczak,3756 N Huron Rd,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
Huron Consulting,Thomas Jacques,Thomas,Jacques,1251 Sparton Road,,,,,,,,,,,,www.NortheasternMichiganBoard.com,,,,,Realtor,,NortheasternMichiganBoard,MI ,,,,,,,
